name,date,significance_en,significance_mr,significance_hi,tips_en,tips_mr,tips_hi
Yogini Ekadashi,2026-07-10,Ashadha Krishna Ekadashi; fasting cleanses negative influences and ensures domestic peace; the last Krishna Ekadashi before the grand Ashadhi pilgrimage to Pandharpur,आषाढ कृष्ण एकादशी; उपवासाने नकारात्मक प्रभाव दूर होऊन घरात शांती नांदते; पंढरपूरच्या भव्य आषाढी वारीपूर्वीची शेवटची कृष्ण एकादशी,आषाढ़ कृष्ण एकादशी; व्रत से नकारात्मक प्रभाव दूर होते हैं और घर में शांति रहती है; पंढरपुर की भव्य आषाढ़ी वारी से पहले की अंतिम कृष्ण एकादशी,Freeze shaped sabudana vada patties for 20 minutes before frying; they hold shape in the oil and the outside crisps more evenly,साबुदाणा वड्याच्या थापलेल्या गोळ्या तळण्यापूर्वी वीस मिनिटे फ्रीजरमध्ये ठेवा; त्या तेलात आकार धरून राहतात आणि बाहेरून एकसारख्या कुरकुरीत होतात,साबूदाना वड़े की थपकी हुई टिक्कियां तलने से पहले बीस मिनट फ्रीजर में रखें; वे तेल में आकार बनाए रखती हैं और बाहर से एकसमान कुरकुरी होती हैं
Ashadhi Ekadashi,2026-07-25,Ashadha Shukla Ekadashi; Lord Vishnu enters Yoga Nidra beginning the 4-month Chaturmas; lakhs of Varkari pilgrims walk to Pandharpur for the wari procession; one of the two holiest days in the Maharashtrian calendar,आषाढ शुक्ल एकादशी; भगवान विष्णू योगनिद्रेत जातात आणि चार महिन्यांचा चातुर्मास सुरू होतो; लाखो वारकरी पंढरपूरच्या वारीसाठी पायी चालत जातात; महाराष्ट्राच्या पंचांगातील दोन सर्वात पवित्र दिवसांपैकी एक,आषाढ़ शुक्ल एकादशी; भगवान विष्णु योगनिद्रा में जाते हैं और चार महीने का चातुर्मास आरंभ होता है; लाखों वारकरी पंढरपुर की वारी के लिए पैदल जाते हैं; महाराष्ट्र के पंचांग के दो सबसे पवित्र दिनों में से एक,For Varkari households only fruits and water are consumed; for home observers prepare all upvas dishes before sunrise and offer as prasad first before eating,वारकरी घरांत फक्त फळे आणि पाणी घेतले जाते; घरी उपवास करणाऱ्यांनी सूर्योदयापूर्वी सर्व उपवासाचे पदार्थ तयार करून आधी नैवेद्य दाखवावा आणि मगच खावे,वारकरी घरों में केवल फल और जल लिया जाता है; घर पर व्रत रखने वालों को सूर्योदय से पहले सभी उपवास के पदार्थ बनाकर पहले नैवेद्य अर्पित करना चाहिए और उसके बाद ही खाना चाहिए
Guru Pournima,2026-07-29,Ashadha Purnima (Vyasa Purnima); birthday of Sage Vyasa who codified the Vedas; disciples offer reverence to their teachers; Satyanarayan Puja and kheer distribution are traditional; the formal start of Chaturmas devotional season,आषाढ पौर्णिमा (व्यास पौर्णिमा); वेदांचे संकलन करणाऱ्या व्यास ऋषींचा जन्मदिवस; शिष्य आपल्या गुरूंना वंदन करतात; सत्यनारायण पूजा आणि खिरीचा प्रसाद ही परंपरा आहे; चातुर्मासातील भक्तिपर्वाची औपचारिक सुरुवात,आषाढ़ पूर्णिमा (व्यास पूर्णिमा); वेदों का संकलन करने वाले व्यास ऋषि का जन्मदिन; शिष्य अपने गुरुओं को नमन करते हैं; सत्यनारायण पूजा और खीर का प्रसाद परंपरा है; चातुर्मास के भक्ति काल का औपचारिक आरंभ,Cook kheer on the lowest flame with no lid; stir every 10 minutes for 45 minutes; the slow cook breaks down rice naturally and thickens the milk without needing any starch,खीर अगदी मंद आचेवर झाकण न ठेवता शिजवा; पंचेचाळीस मिनिटे दर दहा मिनिटांनी ढवळा; सावकाश शिजल्याने तांदूळ आपोआप मोकळा होतो आणि पीठ न घालता दूध घट्ट होते,खीर बिल्कुल धीमी आंच पर बिना ढक्कन के पकाएं; पैंतालीस मिनट तक हर दस मिनट में चलाएं; धीमी आंच पर चावल स्वयं गल जाता है और बिना कोई स्टार्च डाले दूध गाढ़ा हो जाता है
Kamika Ekadashi,2026-08-09,Shravana Krishna Ekadashi; worshipping Lord Vishnu with fresh tulsi leaves on Kamika Ekadashi earns merit equal to a full Ashwamedha Yagna; one of the most powerful Ekadashis within Chaturmas,श्रावण कृष्ण एकादशी; कामिका एकादशीला ताज्या तुळशीपत्रांनी भगवान विष्णूची पूजा केल्याने संपूर्ण अश्वमेध यज्ञाइतके पुण्य मिळते; चातुर्मासातील सर्वात प्रभावी एकादशींपैकी एक,श्रावण कृष्ण एकादशी; कामिका एकादशी पर ताजे तुलसी पत्रों से भगवान विष्णु की पूजा करने से संपूर्ण अश्वमेध यज्ञ के समान पुण्य मिलता है; चातुर्मास की सबसे प्रभावशाली एकादशियों में से एक,Offer a fresh garland of tulsi leaves to Lord Vishnu before beginning the puja; prepare the garland the previous evening so there is no rush before the morning aarti,पूजा सुरू करण्यापूर्वी भगवान विष्णूला ताज्या तुळशीपत्रांची माळ अर्पण करा; सकाळच्या आरतीपूर्वी घाई होऊ नये म्हणून माळ आदल्या संध्याकाळीच करून ठेवा,पूजा आरंभ करने से पहले भगवान विष्णु को ताजे तुलसी पत्रों की माला अर्पित करें; सुबह की आरती से पहले जल्दबाजी न हो इसलिए माला एक शाम पहले ही बना लें
Nag Panchami,2026-08-17,Shravana Shukla Panchami; serpent gods are worshipped with milk and flower offerings; also the first Shravan Monday (Somvar) making it doubly auspicious; no frying; cutting or digging is traditionally done in Maharashtrian homes on this day,श्रावण शुक्ल पंचमी; नागदेवतेची दूध आणि फुले अर्पण करून पूजा केली जाते; याच दिवशी पहिला श्रावणी सोमवार असल्याने दुप्पट पुण्यकाळ; या दिवशी महाराष्ट्रीय घरांत तळणे; चिरणे किंवा खणणे केले जात नाही,श्रावण शुक्ल पंचमी; नाग देवता की दूध और फूल अर्पित कर पूजा की जाती है; इसी दिन पहला श्रावण सोमवार होने से यह दोगुना शुभ है; इस दिन महाराष्ट्रीय घरों में तलना; काटना या खोदना नहीं किया जाता,Avoid frying anything on Nag Panchami; make only steamed or boiled dishes; pre-cook the dudh bhaat (milk rice) the previous evening and simply warm it in the morning,नागपंचमीला काहीही तळू नका; फक्त वाफवलेले किंवा उकडलेले पदार्थ करा; दूधभात आदल्या संध्याकाळी करून ठेवा आणि सकाळी फक्त गरम करा,नागपंचमी पर कुछ भी न तलें; केवल भाप में पके या उबले पकवान बनाएं; दूध भात एक शाम पहले बनाकर रखें और सुबह केवल गर्म करें
Shravana Putrada Ekadashi,2026-08-23,Shravana Shukla Ekadashi; observed for blessings of progeny and wellbeing of children; fasting on this Ekadashi within the holy Shravan month is especially powerful for family harmony and Vishnu devotion,श्रावण शुक्ल एकादशी; संततीच्या प्राप्तीसाठी आणि मुलांच्या कल्याणासाठी हे व्रत केले जाते; पवित्र श्रावण महिन्यातील या एकादशीचा उपवास कौटुंबिक सलोखा आणि विष्णुभक्तीसाठी विशेष फलदायी मानला जातो,श्रावण शुक्ल एकादशी; संतान प्राप्ति और बच्चों के कल्याण के लिए यह व्रत किया जाता है; पवित्र श्रावण मास की इस एकादशी का व्रत पारिवारिक सौहार्द और विष्णु भक्ति के लिए विशेष फलदायी माना जाता है,Phalahari kadhi for Ekadashi uses roasted peanut paste blended with water and seasoned with sendha namak and cumin only; it is light yet filling and sustains a long fast easily,एकादशीची फराळी कढी भाजलेल्या शेंगदाण्याच्या वाटणात पाणी घालून करतात आणि तिला फक्त सैंधव मीठ व जिऱ्याची फोडणी दिली जाते; ती हलकी असूनही पोटभर वाटते आणि लांबचा उपवास सहज निभावते,एकादशी की फलाहारी कढ़ी भुनी मूंगफली के पेस्ट में पानी मिलाकर बनाई जाती है और उसमें केवल सेंधा नमक व जीरा डाला जाता है; यह हल्की होकर भी पेट भरती है और लंबे व्रत को आसानी से निभाती है
Varalakshmi Vrat,2026-08-28,Friday before Shravana Purnima; married women worship Goddess Mahalakshmi in a decorated kalash form seeking wealth; health and family prosperity; worshipping Varalakshmi is considered equivalent to propitiating all eight forms of Lakshmi,श्रावण पौर्णिमेपूर्वीचा शुक्रवार; सुवासिनी सजवलेल्या कलशरूपात महालक्ष्मीची पूजा करून धन; आरोग्य आणि कौटुंबिक भरभराटीची प्रार्थना करतात; वरलक्ष्मीची पूजा म्हणजे अष्टलक्ष्मींची आराधना केल्यासारखे मानले जाते,श्रावण पूर्णिमा से पहले का शुक्रवार; सुहागिन स्त्रियां सजे हुए कलश रूप में महालक्ष्मी की पूजा कर धन; आरोग्य और पारिवारिक समृद्धि की प्रार्थना करती हैं; वरलक्ष्मी की पूजा अष्टलक्ष्मी की आराधना के समान मानी जाती है,Decorate the kalash with fresh mango leaves; coconut and a Lakshmi face-image the night before; cook all sweet offerings using jaggery instead of refined sugar for traditional authenticity and a richer flavour,कलश आदल्या रात्रीच ताज्या आंब्याची पाने; नारळ आणि लक्ष्मीच्या मुखवट्याने सजवा; सर्व गोड नैवेद्य साखरेऐवजी गुळाने करा — त्याने पारंपरिक अस्सलपणा आणि अधिक खोल चव मिळते,कलश एक रात पहले ही ताजे आम के पत्ते; नारियल और लक्ष्मी के मुखौटे से सजाएं; सभी मीठे नैवेद्य चीनी के बजाय गुड़ से बनाएं — इससे पारंपरिक असलियत और गहरा स्वाद मिलता है
Narali Pournima,2026-08-28,Shravana Purnima; fishermen offer coconuts to the sea marking the end of the monsoon fishing ban; Maharashtrian households prepare coconut-based foods to celebrate; coincides with Raksha Bandhan across India,श्रावण पौर्णिमा; कोळी बांधव समुद्राला नारळ अर्पण करून पावसाळी मासेमारी बंदीची सांगता करतात; महाराष्ट्रीय घरांत नारळाचे पदार्थ करून हा दिवस साजरा केला जातो; याच दिवशी देशभर रक्षाबंधन साजरे होते,श्रावण पूर्णिमा; मछुआरे समुद्र को नारियल अर्पित कर मानसून की मछली पकड़ने की रोक समाप्त करते हैं; महाराष्ट्रीय घरों में नारियल के पकवान बनाकर यह दिन मनाया जाता है; इसी दिन देशभर में रक्षाबंधन मनाया जाता है,For Narali Bhaat caramelize jaggery in ghee first until it bubbles; then add cooked rice and freshly grated coconut; stir gently to avoid breaking grains; the caramel fragrance is the signal it is ready,नारळी भातासाठी आधी तुपात गूळ बुडबुडे येईपर्यंत विरघळवा; मग शिजलेला भात आणि ताजे खोवलेले खोबरे घाला; दाणे मोडू नयेत म्हणून हलक्या हाताने ढवळा; कॅरॅमलचा सुगंध आला की तो तयार झाला असे समजावे,नारली भात के लिए पहले घी में गुड़ बुलबुले आने तक पिघलाएं; फिर पका चावल और ताजा कसा नारियल डालें; दाने टूटें नहीं इसलिए हल्के हाथ से चलाएं; कैरेमल की सुगंध आते ही समझें कि वह तैयार है
Heramba Sankashti Chaturthi,2026-08-31,Shravana Krishna Chaturthi; named after Heramba — the five-headed form of Ganesha who protects the weak and the devotee; this Sankashti in the final days of Shravan carries special blessings for removing fears and obstacles,श्रावण कृष्ण चतुर्थी; दुर्बल आणि भक्तांचे रक्षण करणाऱ्या गणेशाच्या पंचमुखी हेरंब रूपावरून हे नाव पडले; श्रावणाच्या शेवटच्या दिवसांतील ही संकष्टी भय आणि विघ्ने दूर करण्यासाठी विशेष फलदायी मानली जाते,श्रावण कृष्ण चतुर्थी; दुर्बलों और भक्तों की रक्षा करने वाले गणेश के पंचमुखी हेरंब रूप पर यह नाम पड़ा; श्रावण के अंतिम दिनों की यह संकष्टी भय और विघ्न दूर करने के लिए विशेष फलदायी मानी जाती है,For Heramba Sankashti offer durva grass (doob) and red flowers to Ganesha along with modak; the fast should be broken only after moonrise and sighting the moon directly,हेरंब संकष्टीला गणेशाला मोदकासोबत दूर्वा आणि लाल फुले अर्पण करा; उपवास चंद्रोदयानंतर आणि प्रत्यक्ष चंद्रदर्शन घेऊनच सोडावा,हेरंब संकष्टी पर गणेश को मोदक के साथ दूर्वा और लाल फूल अर्पित करें; व्रत चंद्रोदय के बाद और चंद्रमा के प्रत्यक्ष दर्शन करके ही खोलना चाहिए
Janmashtami,2026-09-04,Bhadra Krishna Ashtami; birthday of Lord Krishna celebrated as Gokulashtami in Maharashtra; the grand Dahi Handi human pyramid event is held on September 5; a midnight fast is observed until the Janma Muhurta (birth moment at midnight),भाद्रपद कृष्ण अष्टमी; भगवान श्रीकृष्णाचा जन्मदिवस महाराष्ट्रात गोकुळाष्टमी म्हणून साजरा होतो; ५ सप्टेंबरला भव्य दहीहंडीचे थर रचले जातात; मध्यरात्रीच्या जन्ममुहूर्तापर्यंत उपवास केला जातो,भाद्रपद कृष्ण अष्टमी; भगवान श्रीकृष्ण का जन्मदिन महाराष्ट्र में गोकुलाष्टमी के रूप में मनाया जाता है; ५ सितंबर को भव्य दही हांडी का आयोजन होता है; मध्यरात्रि के जन्म मुहूर्त तक उपवास किया जाता है,Prepare Gopalkala (soaked poha mixed with curd; jaggery; coconut and banana) the previous evening and refrigerate; serve as midnight prasad the moment Krishna's Janma Muhurta is announced,गोपाळकाला (भिजवलेले पोहे; दही; गूळ; खोबरे आणि केळे एकत्र करून) आदल्या संध्याकाळी करून फ्रिजमध्ये ठेवा; श्रीकृष्ण जन्ममुहूर्त जाहीर होताच मध्यरात्रीचा प्रसाद म्हणून वाढा,गोपालकाला (भिगोए पोहे में दही; गुड़; नारियल और केला मिलाकर) एक शाम पहले बनाकर फ्रिज में रखें; श्रीकृष्ण का जन्म मुहूर्त घोषित होते ही मध्यरात्रि के प्रसाद के रूप में परोसें
